,content,time,author
302,,2021-06-11 13:55:45.881,Atlanta
303,*profile <@!588858125126336544>,2021-06-11 13:55:45.095,Nanachi Yevhenii
304,<:atlanta_success:736144092123234354> | **50** credit(s) withdrawn!,2021-06-11 13:55:38.225,Atlanta
305,*withdraw 50,2021-06-11 13:55:33.888,Nanachi Yevhenii
306,<:atlanta_success:736144092123234354> | **50** credits deposited in the bank!,2021-06-11 13:55:29.339,Atlanta
307,*deposit 50,2021-06-11 13:55:29.212,Nanachi Yevhenii
308,<:atlanta_error:736144198318686278> | You don't have any credit in your bank!,2021-06-11 13:55:18.409,Atlanta
309,*withdraw 50,2021-06-11 13:55:15.690,Nanachi Yevhenii
310,"```
.------------------------------------.
|            LEADERBOARD             |
|------------------------------------|
| #  |         User         | Points |
|----|----------------------|--------|
|  0 | !Zerio.js            |   1079 |
|  1 | R3dlessX             |    355 |
|  2 | Fanta                |    322 |
|  3 | • Skiz •             |    312 |
|  4 | R3dlessX²            |    276 |
|  5 | NawaKo               |    252 |
|  6 | Androz               |    212 |
|  7 | DIATRON              |    129 |
|  8 | NoisetteDeRrebeuDuCo |    127 |
|  9 | Marisa               |    117 |
| 10 | Chat Noir            |    104 |
| 11 | Alphaa               |     93 |
| 12 | Deleted User a6599f9 |     88 |
| 13 | Marty                |     74 |
| 14 | Flitt Locke          |     68 |
| 15 | Deleted User f16427a |     66 |
| 16 | Mizuki               |     56 |
| 17 | Artémis              |     55 |
| 18 | Deleted User b54bbcd |     52 |
| 19 | Agent 042 △          |     50 |
'------------------------------------'```",2021-06-11 13:55:01.046,Atlanta
311,*leaderboard rep,2021-06-11 13:54:51.285,Nanachi Yevhenii
312,"```
.------------------------------.
|         LEADERBOARD          |
|------------------------------|
| # |       User       | Level |
|---|------------------|-------|
| 0 | techyChung       |     0 |
| 1 | Nanachi Yevhenii |     0 |
'------------------------------'```",2021-06-11 13:54:44.039,Atlanta
313,*leaderboard level,2021-06-11 13:54:43.706,Nanachi Yevhenii
314,"<:atlanta_error:736144198318686278> | Please specify the leaderboard type between `credits`, `level` and `rep`",2021-06-11 13:54:38.538,Atlanta
315,*leaderboard levels,2021-06-11 13:54:33.829,Nanachi Yevhenii
316,"```
.--------------------------------.
|          LEADERBOARD           |
|--------------------------------|
| # |       User       | Credits |
|---|------------------|---------|
| 0 | Nanachi Yevhenii |     273 |
| 1 | techyChung       |     127 |
'--------------------------------'```",2021-06-11 13:54:24.608,Atlanta
317,*leaderboard credits,2021-06-11 13:54:24.317,Nanachi Yevhenii
318,<:atlanta_error:736144198318686278> | 🕵️ **techyChung#3840** is on guard.... Wait a while and try again!,2021-06-11 13:53:57.853,Atlanta
